SITE-AS-ANCHOR RANKING AUDIT
Generated : Mon Apr 20 20:13:27 UTC 2026
Script    : tools/generate_audit_site_as_anchor.py
Corpus    : 1012 sites (1011 inscribed Cultural/Mixed + Gerizim synthetic)
           Each site used as anchor; tests against remaining N = 1011 sites
Threshold : A+ ≤ 0.00321 beru (10.7 km)
Null rate : 6% geometric (4% of 360° in A+ bands)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
DISTRIBUTION SUMMARY

  Sites ranked:  1012
  Mean A+:       65.13 ± 9.27
  Max A+:        92
  Min A+:        48
  Expected (4%): 40.4

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FOCAL ANCHOR RESULTS

  Site                                             Lon°E   A++    A+      A   Rank   % above     p-value  sig
  ----------------------------------------------------------------------------------------------------
  Mount Gerizim (Tentative List)                  35.269     7    88    228     18      1.7%  2.7224e-03  **
  Old City of Jerusalem                          35.2317     7    88    217     18      1.7%  2.7224e-03  **

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
FULL RANKING  (all 1012 sites, sorted by A+ count)

   Rank   A++    A+      A      Lon°E  Site
    327     6    68    200    18.2958  Hanseatic Town of Visby
    327     6    68    191    66.8333  Historic Centre of Shakhrisyabz
    327     5    68    194    10.8889  Town of Bamberg
    327     5    68    199    11.6407  City of Vicenza and the Palladian Villas of the Veneto
    327     5    68    202    19.5292  Old Village of Hollókő and its Surroundings
    327     5    68    222    23.1306  Roșia Montană Mining Landscape
    327     5    68    199    26.6408  Verla Groundwood and Board Mill
    327     5    68    222    29.1233  Hierapolis-Pamukkale
    327     5    68    221    38.1218  Great Mosque and Hospital of Divriği
    327     5    68    222    38.1312  Architectural Ensemble of the Trinity Sergius Lavra in Sergiev Po
    327     5    68    196    44.7338  Historical Monuments of Mtskheta
    327     5    68    192    48.8358  Shushtar Historical Hydraulic System
    327     5    68    221   113.1222  Yungang Grottoes
    327     4    68    226   -78.5121  City of Quito
    327     4    68    200    -4.6885  Old Town of Ávila with its Extra-Muros Churches
    327     4    68    196    12.9534  Erzgebirge/Krušnohoří Mining Region
    327     4    68    228    14.4861  Archaeological Areas of Pompei, Herculaneum and Torre Annunziata
    327     4    68    226    14.5058  The works of Jože Plečnik in Ljubljana – Human Centred Urban Desi
    327     4    68    225    14.5069  Ħal Saflieni Hypogeum
    327     4    68    194    14.7294  Muskauer Park / Park Mużakowski
    327     4    68    190    15.4386  City of Graz – Historic Centre and Schloss Eggenberg
    327     4    68    238    20.4175  Wieliczka and Bochnia Royal Salt Mines
    327     4    68    196    20.7333  Medieval Monuments in Kosovo
    327     4    68    196    21.8628  Ennedi Massif: Natural and Cultural Landscape
    327     4    68    198    28.3341  Churches of the Pskov School of Architecture
